pde,model,n,grid_size,adaptive,epoch,phase,total,ic,bc,l2,w_pde,w_ic,w_bc
400970.53125,KINN,8,10.0,False,100,adam,400970.5625,0.0,0.018525322899222374,1.03061044216156,1.0,1.0,1.0
395593.1875,KINN,8,10.0,False,200,adam,395593.25,0.0,0.07316842675209045,1.095037817955017,1.0,1.0,1.0
344475.3125,KINN,8,10.0,False,300,adam,344475.5,0.0,0.17876215279102325,1.253029704093933,1.0,1.0,1.0
271059.25,KINN,8,10.0,False,400,adam,271059.53125,0.0,0.2929236590862274,1.2462291717529297,1.0,1.0,1.0
197986.296875,KINN,8,10.0,False,500,adam,197986.53125,0.0,0.23980247974395752,1.076982855796814,1.0,1.0,1.0
153158.984375,KINN,8,10.0,False,600,adam,153159.296875,0.0,0.30580583214759827,0.9709191918373108,1.0,1.0,1.0
128270.375,KINN,8,10.0,False,700,adam,128270.75,0.0,0.3743687868118286,0.9533470273017883,1.0,1.0,1.0
115694.171875,KINN,8,10.0,False,800,adam,115694.71875,0.0,0.5483006238937378,0.9976666569709778,1.0,1.0,1.0
109228.0,KINN,8,10.0,False,900,adam,109228.7265625,0.0,0.7235149145126343,0.9830204844474792,1.0,1.0,1.0
101532.609375,KINN,8,10.0,False,1000,adam,101533.1640625,0.0,0.5579490661621094,0.9528914093971252,1.0,1.0,1.0
92764.2578125,KINN,8,10.0,False,1100,adam,92764.765625,0.0,0.5115979909896851,0.9666848182678223,1.0,1.0,1.0
79732.296875,KINN,8,10.0,False,1200,adam,79732.796875,0.0,0.5013424754142761,1.0654315948486328,1.0,1.0,1.0
70884.53125,KINN,8,10.0,False,1300,adam,70885.5703125,0.0,1.0405064821243286,1.1777459383010864,1.0,1.0,1.0
66032.703125,KINN,8,10.0,False,1400,adam,66033.921875,0.0,1.21982741355896,1.2181603908538818,1.0,1.0,1.0
62968.01171875,KINN,8,10.0,False,1500,adam,62969.05859375,0.0,1.0485259294509888,1.1505945920944214,1.0,1.0,1.0
61018.33203125,KINN,8,10.0,False,1600,adam,61019.24609375,0.0,0.9151315093040466,1.0936064720153809,1.0,1.0,1.0
59472.609375,KINN,8,10.0,False,1700,adam,59473.3515625,0.0,0.7420303225517273,1.0046427249908447,1.0,1.0,1.0
57133.734375,KINN,8,10.0,False,1800,adam,57134.453125,0.0,0.7194147109985352,0.9621793031692505,1.0,1.0,1.0
53334.046875,KINN,8,10.0,False,1900,adam,53334.82421875,0.0,0.7756503820419312,0.9372947812080383,1.0,1.0,1.0
